model,phase,magnitude_cm,force_N,episode,trigger_step,fired,success
OFT,B,3.0,0.1039,50,133,1,1
OFT,B,5.0,0.1091,1,126,1,0
OFT,B,5.0,0.1091,2,134,1,1
OFT,B,5.0,0.1091,3,176,1,1
OFT,B,5.0,0.1091,4,71,1,0
OFT,B,5.0,0.1091,5,189,1,1
OFT,B,5.0,0.1091,6,158,1,1
OFT,B,5.0,0.1091,7,181,1,1
OFT,B,5.0,0.1091,8,74,1,0
OFT,B,5.0,0.1091,9,107,1,0
OFT,B,5.0,0.1091,10,166,1,0
OFT,B,5.0,0.1091,11,147,1,1
OFT,B,5.0,0.1091,12,198,1,1
OFT,B,5.0,0.1091,13,84,1,1
OFT,B,5.0,0.1091,14,106,1,0
OFT,B,5.0,0.1091,15,116,1,0
OFT,B,5.0,0.1091,16,137,1,1
OFT,B,5.0,0.1091,17,110,1,1
OFT,B,5.0,0.1091,18,187,1,0
OFT,B,5.0,0.1091,19,186,1,1
OFT,B,5.0,0.1091,20,104,1,1
OFT,B,5.0,0.1091,21,182,1,0
OFT,B,5.0,0.1091,22,104,1,0
OFT,B,5.0,0.1091,23,74,1,1
OFT,B,5.0,0.1091,24,179,1,1
OFT,B,5.0,0.1091,25,104,1,0
OFT,B,5.0,0.1091,26,165,1,0
OFT,B,5.0,0.1091,27,103,1,0
OFT,B,5.0,0.1091,28,137,1,0
OFT,B,5.0,0.1091,29,192,1,0
OFT,B,5.0,0.1091,30,176,1,0
OFT,B,5.0,0.1091,31,143,1,0
OFT,B,5.0,0.1091,32,185,1,1
OFT,B,5.0,0.1091,33,176,1,0
OFT,B,5.0,0.1091,34,154,1,1
OFT,B,5.0,0.1091,35,120,1,0
OFT,B,5.0,0.1091,36,172,1,1
OFT,B,5.0,0.1091,37,121,1,1
OFT,B,5.0,0.1091,38,125,1,1
OFT,B,5.0,0.1091,39,93,1,1
OFT,B,5.0,0.1091,40,169,1,0
OFT,B,5.0,0.1091,41,149,1,0
OFT,B,5.0,0.1091,42,199,1,1
OFT,B,5.0,0.1091,43,63,1,1
OFT,B,5.0,0.1091,44,159,1,1
OFT,B,5.0,0.1091,45,117,1,1
OFT,B,5.0,0.1091,46,124,1,1
